Date,Ibovespa,Dolar,corr_movel
2007-01-10,42336.0,2.149600028991699,-0.9589153858107198
2007-01-11,42670.0,2.1414999961853027,-0.957960383257958
2007-01-12,43095.0,2.13700008392334,-0.9568613937831963
2007-01-15,42919.0,2.1368000507354736,-0.9557689545804955
2007-01-16,42624.0,2.1396000385284424,-0.9546598383176021
2007-01-17,42735.0,2.129699945449829,-0.9535950804592948
2007-01-18,42478.0,2.128000020980835,-0.9526206974459046
2007-01-19,43428.0,2.124500036239624,-0.9513823199781961
2007-01-22,43553.0,2.128499984741211,-0.9500529986975261
2007-01-23,44177.0,2.130500078201294,-0.9484605055929256
2007-01-24,44687.0,2.125,-0.9466701326843261
2007-01-26,44412.0,2.131500005722046,-0.9449758812488563
2007-01-29,43573.0,2.134000062942505,-0.9434318502770644
2007-01-30,44044.0,2.128999948501587,-0.9417436313918787
2007-01-31,44642.0,2.120300054550171,-0.9397990510250329
2007-02-01,44815.0,2.1031999588012695,-0.9379521142802382
2007-02-02,44998.0,2.0924999713897705,-0.9361259263807511
2007-02-05,45286.0,2.0896999835968018,-0.9341958107157301
2007-02-06,45352.0,2.0824999809265137,-0.9322674022653817
2007-02-07,44588.0,2.0820000171661377,-0.9305339470044119
2007-02-08,44892.0,2.0940001010894775,-0.9284376922803178
2007-02-09,44284.0,2.0975000858306885,-0.9264137795698147
2007-02-12,43935.0,2.1105000972747803,-0.9242182924618564
2007-02-13,45197.0,2.105299949645996,-0.9216850024524665
2007-02-14,45996.0,2.0950000286102295,-0.91886699513984
2007-02-15,45955.0,2.0840001106262207,-0.9160763502715145
2007-02-16,45849.0,2.0876998901367188,-0.9132778094570534
2007-02-21,46090.0,2.0771000385284424,-0.9104987168530775
2007-02-22,46452.0,2.071500062942505,-0.9074106676949998
2007-02-23,46016.0,2.0845000743865967,-0.9042982334190913
2007-02-26,46207.0,2.0808000564575195,-0.9008194896504546
2007-02-27,43145.0,2.1015000343322754,-0.8978985482686532
2007-02-28,43892.0,2.115999937057495,-0.8944364697259345
2007-03-01,43517.0,2.119499921798706,-0.8907249834790006
2007-03-02,42370.0,2.117500066757202,-0.8872067566429115
2007-03-05,41179.0,2.135499954223633,-0.8837665455510043
2007-03-06,43218.0,2.120500087738037,-0.8797843970271904
2007-03-07,42667.0,2.1105000972747803,-0.8758083124429333
2007-03-08,43466.0,2.1013998985290527,-0.8715918053256542
2007-03-09,44133.0,2.0920000076293945,-0.8669613037082184
2007-03-12,44249.0,2.0875000953674316,-0.8618388278574409
2007-03-13,42749.0,2.0924999713897705,-0.8557723123713192
2007-03-14,43288.0,2.1075000762939453,-0.8490257911265703
2007-03-15,43278.0,2.085200071334839,-0.841402240307341
2007-03-16,42730.0,2.0889999866485596,-0.8334995287164223
2007-03-19,43713.0,2.073699951171875,-0.8245302614610363
2007-03-20,44351.0,2.072000026702881,-0.8143817245926862
2007-03-21,45631.0,2.0676000118255615,-0.8022074166411224
2007-03-22,45424.0,2.0534000396728516,-0.7894402547170475
2007-03-23,45533.0,2.062000036239624,-0.7753018893493326
2007-03-26,45645.0,2.058000087738037,-0.7611534512253858
2007-03-27,45207.0,2.0592000484466553,-0.7461285886465613
2007-03-28,44484.0,2.070499897003174,-0.7297541405058019
2007-03-29,45355.0,2.0510001182556152,-0.7108065153859608
2007-03-30,45805.0,2.055000066757202,-0.6905086876968434
2007-04-02,45597.0,2.0434999465942383,-0.6740546584551226
2007-04-03,46288.0,2.033900022506714,-0.674019847524902
2007-04-04,46554.0,2.028700113296509,-0.6795704363537433
2007-04-05,46647.0,2.027400016784668,-0.6851795167532915
2007-04-09,46855.0,2.027400016784668,-0.6903539220260126
2007-04-10,47174.0,2.0269999504089355,-0.6949248812014626
2007-04-11,46939.0,2.0274999141693115,-0.6991724530964972
2007-04-12,47347.0,2.0339999198913574,-0.7035856587179827
2007-04-13,47926.0,2.0164999961853027,-0.7092235573876426
2007-04-16,48921.0,2.0280001163482666,-0.7151124177047917
2007-04-17,48755.0,2.028700113296509,-0.7202910203363104
2007-04-18,48710.0,2.0334999561309814,-0.7249910691351924
2007-04-19,48762.0,2.02810001373291,-0.7298302086559377
2007-04-20,49408.0,2.0220999717712402,-0.7348967281684158
2007-04-23,49162.0,2.0192999839782715,-0.7403463734489742
2007-04-24,49071.0,2.032900094985962,-0.744770895065346
2007-04-25,49676.0,2.0185999870300293,-0.7497525004875448
2007-04-26,49068.0,2.0181000232696533,-0.7541838628028656
2007-04-27,49230.0,2.0274999141693115,-0.7582217231044305
2007-04-30,48956.0,2.027899980545044,-0.7620572538464688
2007-05-02,49472.0,2.021199941635132,-0.7662711425170182
2007-05-03,50218.0,2.018399953842163,-0.770564369131602
2007-05-04,50598.0,2.0253000259399414,-0.7739560267171665
2007-05-07,50282.0,2.0201001167297363,-0.7783276525913577
2007-05-08,50278.0,2.0216000080108643,-0.7824184448830029
2007-05-09,51300.0,2.018699884414673,-0.7870262358262414
2007-05-10,50235.0,2.0143001079559326,-0.7918708194486918
2007-05-11,50902.0,2.0137999057769775,-0.7968982959422086
2007-05-14,50511.0,2.006500005722046,-0.8019209941049231
2007-05-15,50518.0,1.9850000143051147,-0.8168926872026968
2007-05-16,51738.0,1.9606000185012817,-0.8225921263567759
